path,control_profile,apply_safety_filter_to_final_control,apply_safety_filter_to_nominal_trajectory,apply_safety_filter_to_samples,cost_from_obstacles_or_BRT,mppi_samples,mppi_horizon,save_samples,init_state,goal_state,goal_state_threshold,timestep,trial_max_duration,mppi_temperature,mppi_angvel_control_noise_mean,mppi_angvel_control_noise_stddev,mppi_initial_control_is_mean,brt_filename,safety_filter_type,safety_filter_value_threshold,dynamics_name,state_dim,state_labels,control_dim,control_labels,dynamics_linvel,dynamics_angvel_min,dynamics_angvel_max,Phi_terminal_state_cost_weights,Q_running_state_cost_weights,action_cost_weights,crashed,goal_reached,time_elapsed,total_cost,terminal_state,control_compute_time_avg,control_compute_time_std,apply_safety_filter_to_final_chosen_control,final_safety_filter
experiments_sep_24/exp_samples-0020_trial-000_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,8.540000000000001,27806.63093,"[4.140546469600313, -2.007724448757582, 3.041503626569848]",False,False,,
experiments_sep_24/exp_samples-0020_trial-000_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,0.92,42026.98828,"[-0.18214247666787353, 3.2546891091782997, -2.517884584090035]",False,False,,
experiments_sep_24/exp_samples-0020_trial-000_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.66,10603.37904,"[4.017082280255656, -2.0134479132818934, -0.01891374740786178]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-000_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.72,11025.86789,"[4.027780474996044, -1.9955782356488814, 0.07544398110658967]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-000_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,5.04,4406.89114,"[4.042641142145771, -1.9748302068548653, -0.031041293858414143]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-001_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,38829.40512,"[-5.43017671426638, -4.618295857541495, 2.0501936116433317]",False,False,,
experiments_sep_24/exp_samples-0020_trial-001_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,98809.29073,"[-5.299123731787854, -4.910404929788016, 2.4280099543410882]",False,False,,
experiments_sep_24/exp_samples-0020_trial-001_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.5600000000000005,9177.09514,"[1.2654851818154278, 3.8865174909648252, -0.024460557281683393]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-001_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.32,7953.12094,"[1.3516395747679173, 3.948272086556213, -1.3681704518219715]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-001_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,3.04,6314.53166,"[1.2131322081167986, 3.8990176807180856, 0.014053047820297149]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-002_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[3.869456, -2.549634, 2.587896]","[-2.242927, -4.24007, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,36373.51196,"[-5.094466507260038, 2.3749839929384473, 1.624442286090508]",False,False,,
experiments_sep_24/exp_samples-0020_trial-002_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[3.869456, -2.549634, 2.587896]","[-2.242927, -4.24007, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.76,6690.56073,"[-2.198058733738308, -4.233496124865294, -2.3922901718804117]",False,False,,
experiments_sep_24/exp_samples-0020_trial-002_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[3.869456, -2.549634, 2.587896]","[-2.242927, -4.24007, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.84,6846.2759,"[-2.1701206987231947, -4.189898768949096, -2.417902183658216]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-002_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[3.869456, -2.549634, 2.587896]","[-2.242927, -4.24007, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.76,6690.56073,"[-2.198058733738308, -4.233496124865294, -2.3922901718804117]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-002_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[3.869456, -2.549634, 2.587896]","[-2.242927, -4.24007, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,13733.73751,"[1.8958587283935275, -3.9485872042352197, 1.7591350953894125]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-003_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[2.390616, -4.271834, -1.316366]","[0.891258, 4.024178, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,38130.07339,"[-5.104660334336236, 0.011184425935344605, 1.5534950835287855]",False,False,,
experiments_sep_24/exp_samples-0020_trial-003_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[2.390616, -4.271834, -1.316366]","[0.891258, 4.024178, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,0.28,21276.95999,"[3.2720134006450445, -5.015379825188456, -0.6289598097034172]",False,False,,
experiments_sep_24/exp_samples-0020_trial-003_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[2.390616, -4.271834, -1.316366]","[0.891258, 4.024178, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,7.76,11079.73582,"[0.9348815560073271, 3.9728489843501382, 2.970127029078424]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-003_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[2.390616, -4.271834, -1.316366]","[0.891258, 4.024178, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,31177.5473,"[-1.417932836269855, 1.063078888723683, -0.022997899779434228]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-003_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[2.390616, -4.271834, -1.316366]","[0.891258, 4.024178, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,6.88,8156.50611,"[0.8908120819962597, 3.9503430354716667, 3.0446042402064792]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-004_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[3.963613, -2.22393, 2.41017]","[1.022783, 3.777856, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,0.1,279.86146,"[3.682028956291778, -1.8395596741502136, 2.1180287771307347]",False,False,,
experiments_sep_24/exp_samples-0020_trial-004_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[3.963613, -2.22393, 2.41017]","[1.022783, 3.777856, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,0.1,40272.61819,"[3.6802763688559854, -1.8427244380498158, 1.9854331650140349]",False,False,,
experiments_sep_24/exp_samples-0020_trial-004_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[3.963613, -2.22393, 2.41017]","[1.022783, 3.777856, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,12.74,15028.60605,"[1.0603134010324782, 3.772857298931899, 2.686564860392914]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-004_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[3.963613, -2.22393, 2.41017]","[1.022783, 3.777856, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,10.46,12577.5945,"[0.9548843568373967, 3.7609051601329337, 0.10248244151076324]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-004_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[3.963613, -2.22393, 2.41017]","[1.022783, 3.777856, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,5.86,3952.1964,"[1.1139315513657264, 3.80110898348804, 2.991724360566706]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-005_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[-0.289374, 4.259225, -2.712646]","[4.136811, -2.411029, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,6.7,18387.77767,"[4.190829305653597, -2.3948051897273515, 3.1281185540144483]",False,False,,
experiments_sep_24/exp_samples-0020_trial-005_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[-0.289374, 4.259225, -2.712646]","[4.136811, -2.411029, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,121291.99581,"[-3.894144507690345, 5.511126546931575, -0.11039688658406677]",False,False,,
experiments_sep_24/exp_samples-0020_trial-005_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[-0.289374, 4.259225, -2.712646]","[4.136811, -2.411029, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,3.72,8893.00486,"[4.090906041835204, -2.3793806056201268, -0.17104836737195006]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-005_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[-0.289374, 4.259225, -2.712646]","[4.136811, -2.411029, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,3.86,9703.95703,"[4.068365859355049, -2.4156016702658776, -0.18355127786639525]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-005_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[-0.289374, 4.259225, -2.712646]","[4.136811, -2.411029, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,3.14,6108.35122,"[4.113262478764356, -2.420223653076242, -0.1487064073605131]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-006_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[3.905899, -2.177434, 0.887898]","[-2.122111, -4.203732, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,38081.69666,"[-6.145212696761641, 1.829712342434979, -1.1908315715380813]",False,False,,
experiments_sep_24/exp_samples-0020_trial-006_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[3.905899, -2.177434, 0.887898]","[-2.122111, -4.203732, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,2.34,3252.99742,"[-2.070425197917823, -4.193408069666891, -2.1062063505126627]",False,False,,
experiments_sep_24/exp_samples-0020_trial-006_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[3.905899, -2.177434, 0.887898]","[-2.122111, -4.203732, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,2.44,3578.71762,"[-2.061655474594956, -4.169661372456634, -2.2170949602987995]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-006_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[3.905899, -2.177434, 0.887898]","[-2.122111, -4.203732, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,2.34,3252.99742,"[-2.070425197917823, -4.193408069666891, -2.1062063505126627]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-006_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[3.905899, -2.177434, 0.887898]","[-2.122111, -4.203732, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,2.32,3051.61648,"[-2.0741679662540475, -4.191525549057273, -2.034169512679554]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-007_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[0.651467, -4.162446, 0.683753]","[1.060588, 3.963682, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,1.6600000000000001,2665.14083,"[1.710625217529796, 2.351634299498739, 1.2557338890501537]",False,False,,
experiments_sep_24/exp_samples-0020_trial-007_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[0.651467, -4.162446, 0.683753]","[1.060588, 3.963682, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,3.2,134225.79216,"[-5.001433710660111, 1.7838389315629384, 2.8986098883013414]",False,False,,
experiments_sep_24/exp_samples-0020_trial-007_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[0.651467, -4.162446, 0.683753]","[1.060588, 3.963682, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,5.44,4258.20502,"[1.149673787833179, 3.927482098981113, 2.7268206102017922]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-007_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[0.651467, -4.162446, 0.683753]","[1.060588, 3.963682, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,25229.27832,"[4.070821781476218, -0.41237811436746524, 2.683127763203734]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-007_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[0.651467, -4.162446, 0.683753]","[1.060588, 3.963682, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,3.06,2973.41065,"[1.08166450604102, 4.000546628259072, -1.0425682975724069]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-008_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[1.307642, 4.036694, 2.687617]","[1.345402, -3.409916, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,7.7,19648.32406,"[5.021110081611415, -2.566780615882735, 2.6756181219856714]",False,False,,
experiments_sep_24/exp_samples-0020_trial-008_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[1.307642, 4.036694, 2.687617]","[1.345402, -3.409916, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,0.42,21511.18803,"[-0.12860501489534232, 5.01138531882588, 2.6000543688536926]",False,False,,
experiments_sep_24/exp_samples-0020_trial-008_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[1.307642, 4.036694, 2.687617]","[1.345402, -3.409916, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,6.36,9462.70637,"[1.3060993877708587, -3.33312300210348, -1.5331923485680201]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-008_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[1.307642, 4.036694, 2.687617]","[1.345402, -3.409916, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,17769.19706,"[4.253332677021647, -1.5120501899583096, -1.6832488995810093]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-008_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[1.307642, 4.036694, 2.687617]","[1.345402, -3.409916, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,2.82,4874.92585,"[1.3128507674904035, -3.3722615147094586, -1.4514291703982725]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-009_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[0.143676, 3.531251, -2.146967]","[3.340227, -2.753092, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,37562.31903,"[5.573403609433534, -4.23675227051454, 1.5302180989536343]",False,False,,
experiments_sep_24/exp_samples-0020_trial-009_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[0.143676, 3.531251, -2.146967]","[3.340227, -2.753092, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,0.1,20328.08558,"[-0.19877241758613143, 3.198233948295325, -2.413058739399217]",False,False,,
experiments_sep_24/exp_samples-0020_trial-009_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[0.143676, 3.531251, -2.146967]","[3.340227, -2.753092, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,3.62,7896.14646,"[3.3002782441904843, -2.7314295237030146, -0.815691500105538]",False,False,False,True
